constructorResultsId;points;status;constructorId;raceId
287;5.0;0;3;45
288;5.0;0;2;45
289;1.0;0;4;45
290;0.0;0;11;45
291;0.0;0;8;45
292;0.0;0;7;45
293;0.0;0;12;45
294;0.0;0;5;45
295;15.0;D;1;46
296;8.0;0;6;46
297;10.0;0;2;46
298;3.0;0;7;46
299;2.0;0;3;46
300;1.0;0;4;46
301;0.0;0;9;46
302;0.0;0;8;46
303;0.0;0;5;46
304;0.0;0;12;46
305;0.0;0;11;46
306;18.0;0;6;47
307;10.0;D;1;47
308;6.0;0;2;47
309;3.0;0;4;47
310;2.0;0;3;47
311;0.0;0;9;47
312;0.0;0;7;47
313;0.0;0;11;47
314;0.0;0;8;47
315;0.0;0;5;47
316;0.0;0;12;47
317;18.0;D;1;48
318;6.0;0;6;48
319;9.0;0;2;48
320;3.0;0;3;48
321;2.0;0;4;48
322;1.0;0;11;48
323;0.0;0;9;48
324;0.0;0;7;48
325;0.0;0;8;48
326;0.0;0;5;48
327;0.0;0;12;48
328;18.0;0;6;49
329;11.0;D;1;49
330;4.0;0;2;49
331;3.0;0;3;49
332;2.0;0;9;49
333;1.0;0;4;49
334;0.0;0;7;49
335;0.0;0;5;49
336;0.0;0;11;49
337;0.0;0;12;49
338;0.0;0;8;49
339;10.0;D;1;50
340;12.0;0;4;50
341;9.0;0;6;50
342;5.0;0;9;50
343;2.0;0;2;50
344;1.0;0;12;50
345;0.0;0;5;50
346;0.0;0;11;50
347;0.0;0;7;50
348;0.0;0;8;50
349;0.0;0;3;50
350;16.0;0;6;51
351;8.0;D;1;51
352;8.0;0;5;51
353;4.0;0;11;51
354;2.0;0;2;51
355;1.0;0;9;51
356;0.0;0;4;51
357;0.0;0;3;51
358;0.0;0;7;51
359;0.0;0;8;51
360;0.0;0;12;51
361;18.0;0;6;52
362;8.0;D;1;52
363;5.0;0;3;52
364;7.0;0;2;52
365;1.0;0;7;52
366;0.0;0;9;52
367;0.0;0;8;52
368;0.0;0;5;52
369;0.0;0;12;52
370;0.0;0;11;52
371;0.0;0;4;52
372;10.0;0;4;53
373;8.0;0;6;53
374;10.0;0;1;53
375;5.0;0;11;53
