constructorStandingsId;points;position;positionText;wins;constructorId;raceId
7648;0.0;7;7;0;18;322
7647;2.0;6;6;0;34;322
7646;4.0;5;5;0;22;322
7645;6.0;4;4;0;3;322
7644;7.0;3;3;0;25;322
7643;19.0;1;1;1;1;322
7676;0.0;10;10;0;27;323
7675;0.0;7;7;0;32;323
7674;0.0;14;14;0;35;323
7673;0.0;16;16;0;45;323
7672;15.0;3;3;1;6;323
7671;0.0;15;15;0;41;323
7670;0.0;13;13;0;44;323
7669;0.0;11;11;0;21;323
7668;0.0;9;9;0;33;323
7667;0.0;8;8;0;18;323
7666;2.0;6;6;0;34;323
7665;10.0;4;4;0;22;323
7664;15.0;2;2;1;3;323
7663;8.0;5;5;0;25;323
7662;25.0;1;1;1;1;323
7695;0.0;12;12;0;27;324
7694;0.0;9;9;0;32;324
7693;0.0;14;14;0;35;324
7692;0.0;16;16;0;45;324
7691;15.0;3;3;1;6;324
7690;0.0;15;15;0;41;324
7689;0.0;13;13;0;44;324
7688;2.0;6;6;0;21;324
7687;1.0;8;8;0;33;324
7686;0.0;10;10;0;18;324
7685;2.0;7;7;0;34;324
7684;10.0;5;5;0;22;324
7683;18.0;2;2;1;3;324
7682;14.0;4;4;0;25;324
7681;38.0;1;1;2;1;324
7715;0.0;11;11;0;46;325
7714;0.0;12;12;0;27;325
7713;1.0;8;8;0;32;325
7712;0.0;16;16;0;35;325
7711;0.0;14;14;0;45;325
7710;21.0;2;2;1;6;325
7709;0.0;13;13;0;41;325
7708;0.0;15;15;0;44;325
7707;2.0;7;7;0;21;325
7706;1.0;9;9;0;33;325
7705;0.0;10;10;0;18;325
7704;2.0;6;6;0;34;325
7703;16.0;4;4;0;22;325
7702;18.0;3;3;1;3;325
7701;14.0;5;5;0;25;325
7700;50.0;1;1;3;1;325
7734;0.0;11;11;0;46;326
7733;0.0;12;12;0;27;326
7732;1.0;8;8;0;32;326
7731;0.0;14;14;0;35;326
7730;0.0;15;15;0;45;326
7729;36.0;2;2;2;6;326
7728;0.0;13;13;0;41;326
7727;0.0;16;16;0;44;326
7726;2.0;7;7;0;21;326
7725;1.0;9;9;0;33;326
7724;0.0;10;10;0;18;326
7723;2.0;6;6;0;34;326
7722;20.0;4;4;0;22;326
7721;20.0;3;3;1;3;326
7720;14.0;5;5;0;25;326
7719;54.0;1;1;3;1;326
7754;0.0;17;17;0;39;327
7753;0.0;12;12;0;46;327
7752;0.0;13;13;0;27;327
7751;1.0;10;10;0;32;327
7750;0.0;14;14;0;35;327
7749;0.0;15;15;0;45;327
7748;45.0;2;2;3;6;327
7747;6.0;6;6;0;41;327
7746;0.0;16;16;0;44;327
7745;2.0;8;8;0;21;327
7744;1.0;9;9;0;33;327
7743;0.0;11;11;0;18;327
7742;2.0;7;7;0;34;327
7741;23.0;3;3;0;22;327
7740;21.0;4;4;1;3;327
7739;14.0;5;5;0;25;327
7738;60.0;1;1;3;1;327
7773;0.0;17;17;0;39;328
7772;0.0;12;12;0;46;328
7771;0.0;13;13;0;27;328
7770;1.0;10;10;0;32;328
7769;0.0;14;14;0;35;328
7768;0.0;15;15;0;45;328
7767;54.0;2;2;4;6;328
7766;6.0;6;6;0;41;328
7765;0.0;16;16;0;44;328
7764;2.0;8;8;0;21;328
7763;5.0;7;7;0;33;328
7762;0.0;11;11;0;18;328
7761;2.0;9;9;0;34;328
7760;25.0;4;4;0;22;328
7759;27.0;3;3;1;3;328
7758;14.0;5;5;0;25;328
7757;64.0;1;1;3;1;328
7792;0.0;17;17;0;39;329
7791;0.0;12;12;0;46;329
7790;0.0;13;13;0;27;329
7789;1.0;10;10;0;32;329
7788;0.0;14;14;0;35;329
7787;0.0;15;15;0;45;329
7786;57.0;2;2;4;6;329
7785;6.0;6;6;0;41;329
7784;0.0;16;16;0;44;329
7783;2.0;8;8;0;21;329
7782;5.0;7;7;0;33;329
7781;0.0;11;11;0;18;329
7780;2.0;9;9;0;34;329
7779;31.0;3;3;0;22;329
7778;30.0;4;4;1;3;329
7777;14.0;5;5;0;25;329
7776;77.0;1;1;4;1;329
7811;0.0;15;15;0;39;330
7810;0.0;12;12;0;46;330
7809;0.0;13;13;0;27;330
7808;3.0;8;8;0;32;330
7807;0.0;14;14;0;35;330
7806;0.0;16;16;0;45;330
7805;57.0;2;2;4;6;330
7804;6.0;6;6;0;41;330
7803;0.0;17;17;0;44;330
7802;2.0;9;9;0;21;330
7801;6.0;7;7;0;33;330
7800;0.0;11;11;0;18;330
7799;2.0;10;10;0;34;330
7798;35.0;4;4;0;22;330
7797;42.0;3;3;2;3;330
7796;14.0;5;5;0;25;330
7795;83.0;1;1;4;1;330
7830;0.0;16;16;0;39;331
7829;0.0;12;12;0;46;331
7828;0.0;13;13;0;27;331
7827;3.0;8;8;0;32;331
7826;0.0;14;14;0;35;331
7825;0.0;15;15;0;45;331
7824;63.0;2;2;4;6;331
7823;7.0;6;6;0;41;331
7822;0.0;17;17;0;44;331
7821;2.0;9;9;0;21;331
7820;6.0;7;7;0;33;331
7819;0.0;11;11;0;18;331
7818;2.0;10;10;0;34;331
7817;40.0;4;4;0;22;331
7816;42.0;3;3;2;3;331
7815;14.0;5;5;0;25;331
7814;96.0;1;1;5;1;331
7849;0.0;16;16;0;39;332
7848;0.0;12;12;0;46;332
7847;0.0;13;13;0;27;332
7846;3.0;8;8;0;32;332
7845;0.0;14;14;0;35;332
7844;0.0;15;15;0;45;332
7843;72.0;2;2;4;6;332
7842;7.0;6;6;0;41;332
7841;0.0;17;17;0;44;332
7840;2.0;9;9;0;21;332
7839;6.0;7;7;0;33;332
7838;0.0;11;11;0;18;332
7837;2.0;10;10;0;34;332
7836;40.0;4;4;0;22;332
7835;44.0;3;3;2;3;332
7834;15.0;5;5;0;25;332
