id;fastestLap;rank;fastestLapTime;fastestLapSpeed;resultId
275;52;3;1:29.681;232.544;276
276;53;1;1:28.047;236.859;277
277;53;16;1:30.918;229.380;278
278;53;8;1:29.948;231.853;279
279;53;11;1:30.215;231.167;280
280;52;15;1:30.853;229.544;281
281;53;10;1:30.019;231.671;282
282;52;7;1:29.827;232.166;283
283;49;17;1:32.459;225.557;284
284;42;19;1:33.918;222.053;285
285;52;2;1:29.258;233.646;286
286;51;18;1:33.458;223.146;287
287;6;20;1:37.304;214.326;288
288;55;3;1:45.768;172.464;289
289;39;5;1:46.454;171.352;290
290;14;4;1:46.072;171.969;291
291;50;8;1:47.044;170.408;292
292;13;9;1:47.271;170.047;293
293;14;11;1:47.306;169.992;294
294;41;13;1:47.562;169.587;295
295;13;10;1:47.287;170.022;296
296;61;15;1:48.128;168.700;297
297;14;12;1:47.337;169.943;298
298;14;6;1:46.899;170.639;299
299;29;14;1:47.820;169.181;300
300;13;2;1:45.757;172.482;301
301;28;16;1:49.101;167.195;302
302;14;1;1:45.599;172.740;303
303;32;7;1:46.972;170.523;304
304;38;18;1:49.270;166.936;305
305;13;17;1:49.183;167.069;306
306;13;19;1:50.320;165.348;307
307;13;20;1:50.449;165.154;308
308;41;3;1:19.101;207.668;309
309;16;7;1:19.292;207.168;310
310;66;2;1:18.995;207.947;311
311;54;4;1:19.199;207.411;312
312;18;9;1:19.524;206.564;313
313;21;12;1:19.617;206.322;314
314;55;1;1:18.426;209.456;315
315;30;13;1:19.820;205.798;316
316;67;8;1:19.461;206.727;317
317;49;6;1:19.262;207.246;318
318;66;10;1:19.531;206.545;319
319;65;11;1:19.560;206.470;320
320;66;16;1:20.575;203.869;321
321;66;17;1:20.849;203.178;322
322;32;15;1:20.364;204.404;323
323;20;19;1:21.577;201.365;324
324;12;5;1:19.258;207.257;325
325;6;18;1:21.189;202.327;326
326;4;14;1:20.254;204.685;327
328;13;1;1:36.325;203.722;329
329;36;4;1:36.591;203.161;330
330;14;2;1:36.483;203.389;331
331;56;5;1:36.659;203.018;332
332;56;3;1:36.498;203.357;333
333;56;7;1:36.854;202.610;334
334;56;6;1:36.727;202.876;335
335;56;8;1:36.996;202.313;336
336;55;9;1:37.212;201.863;337
337;27;14;1:37.753;200.746;338
338;56;16;1:37.845;200.558;339
339;54;17;1:38.019;200.202;340
340;36;12;1:37.452;201.366;341
341;10;13;1:37.680;200.896;342
342;38;10;1:37.246;201.793;343
343;54;15;1:37.773;200.705;344
344;54;18;1:38.372;199.483;345
345;32;11;1:37.302;201.677;346
346;13;19;1:39.683;196.860;347
347;2;20;2:39.612;122.945;348
348;36;1;1:13.736;210.377;349
349;39;8;1:14.229;208.980;350
350;59;3;1:14.117;209.296;351
351;25;7;1:14.214;209.022;352
352;31;4;1:14.159;209.177;353
353;32;2;1:14.057;209.465;354
354;36;6;1:14.207;209.042;355
355;40;5;1:14.167;209.155;356
356;40;14;1:15.033;206.741;357
357;41;10;1:14.652;207.796;358
358;61;9;1:14.375;208.570;359
359;35;12;1:14.934;207.014;360
360;59;11;1:14.759;207.498;361
361;57;13;1:14.951;206.967;362
362;35;16;1:15.414;205.696;363
363;60;17;1:15.773;204.721;364
364;50;18;1:15.865;204.473;365
365;36;15;1:15.212;206.249;366
368;41;1;1:25.235;223.978;369
369;20;2;1:26.314;221.178;370
370;20;3;1:26.351;221.083;371
371;37;6;1:26.722;220.137;372
372;18;7;1:26.892;219.707;373
373;28;8;1:27.044;219.323;374
374;40;5;1:26.721;220.140;375
375;42;12;1:27.796;217.444;376
376;45;13;1:28.034;216.857;377
377;44;10;1:27.592;217.951;378
378;17;14;1:28.098;216.699;379
379;20;18;1:28.487;215.746;380
380;21;9;1:27.501;218.178;381
381;44;15;1:28.282;216.247;382
382;42;17;1:28.387;215.991;383
383;41;19;1:28.489;215.742;384
384;40;20;1:28.687;215.260;385
385;24;16;1:28.303;216.196;386
386;44;11;1:27.706;217.668;387
387;19;4;1:26.642;220.341;388
388;22;21;1:28.953;214.616;389
389;9;22;1:30.899;210.022;390
390;42;2;1:36.861;206.014;391
391;22;1;1:36.701;206.355;392
392;40;4;1:37.228;205.237;393
393;55;5;1:37.417;204.838;394
394;42;3;1:37.199;205.298;395
395;44;9;1:37.879;203.872;396
396;40;10;1:38.016;203.587;397
397;41;7;1:37.810;204.015;398
398;19;8;1:37.864;203.903;399
399;55;14;1:38.540;202.504;400
400;32;15;1:38.566;202.451;401
401;54;16;1:38.658;202.262;402
402;37;13;1:38.496;202.595;403
403;54;18;1:39.098;201.364;404
404;52;19;1:39.243;201.070;405
405;32;20;1:39.566;200.417;406
406;21;12;1:38.447;202.695;407
407;53;17;1:38.874;201.820;408
408;18;6;1:37.704;204.237;409
409;28;11;1:38.098;203.416;410
410;5;21;1:41.495;196.608;411
412;42;1;1:34.067;207.120;413
413;18;2;1:34.270;206.674;414
414;39;3;1:34.357;206.483;415
415;38;5;1:34.470;206.236;416
416;46;4;1:34.420;206.346;417
417;46;6;1:34.819;205.477;418
418;40;7;1:35.153;204.756;419
419;51;8;1:35.200;204.655;420
420;27;10;1:35.475;204.065;421
421;51;11;1:35.556;203.893;422
422;27;16;1:35.992;202.966;423
423;37;15;1:35.845;203.278;424
424;50;14;1:35.842;203.284;425
425;40;20;1:37.184;200.477;426
426;45;19;1:36.772;201.330;427
427;27;17;1:36.111;202.715;428
428;37;12;1:35.705;203.575;429
429;34;9;1:35.384;204.260;430
430;23;18;1:36.359;202.193;431
431;23;13;1:35.723;203.537;432
434;14;1;1:22.680;202.685;435
435;20;2;1:22.876;202.205;436
436;17;3;1:22.966;201.986;437
437;20;5;1:23.129;201.590;438
438;18;8;1:23.524;200.636;439
439;60;10;1:23.693;200.231;440
440;32;4;1:22.980;201.952;441
441;23;12;1:24.110;199.239;442
442;57;9;1:23.560;200.550;443
443;16;14;1:24.287;198.820;444
444;59;15;1:24.291;198.811;445
445;64;13;1:24.186;199.059;446
446;57;16;1:25.191;196.710;447
447;61;18;1:25.260;196.551;448
